Offense_Code_Group,Hour,Number_of_Records
Aggravated Assault,0,463
Aggravated Assault,1,422
Aggravated Assault,2,381
Aggravated Assault,3,180
Aggravated Assault,4,135
Aggravated Assault,5,75
Aggravated Assault,6,93
Aggravated Assault,7,138
Aggravated Assault,8,214
Aggravated Assault,9,225
Aggravated Assault,10,272
Aggravated Assault,11,287
Aggravated Assault,12,330
Aggravated Assault,13,377
Aggravated Assault,14,344
Aggravated Assault,15,383
Aggravated Assault,16,480
Aggravated Assault,17,408
Aggravated Assault,18,451
Aggravated Assault,19,432
Aggravated Assault,20,423
Aggravated Assault,21,446
Aggravated Assault,22,437
Aggravated Assault,23,411
Auto Theft,0,261
Auto Theft,1,133
Auto Theft,2,106
Auto Theft,3,83
Auto Theft,4,69
Auto Theft,5,52
Auto Theft,6,94
Auto Theft,7,118
Auto Theft,8,168
Auto Theft,9,199
Auto Theft,10,195
Auto Theft,11,197
Auto Theft,12,232
Auto Theft,13,202
Auto Theft,14,240
Auto Theft,15,223
Auto Theft,16,256
Auto Theft,17,265
Auto Theft,18,306
Auto Theft,19,295
Auto Theft,20,317
Auto Theft,21,292
Auto Theft,22,302
Auto Theft,23,246
Commercial Burglary,0,87
Commercial Burglary,1,76
Commercial Burglary,2,57
Commercial Burglary,3,84
Commercial Burglary,4,88
Commercial Burglary,5,79
Commercial Burglary,6,72
Commercial Burglary,7,68
Commercial Burglary,8,59
Commercial Burglary,9,79
Commercial Burglary,10,59
Commercial Burglary,11,33
Commercial Burglary,12,38
Commercial Burglary,13,21
Commercial Burglary,14,31
Commercial Burglary,15,34
Commercial Burglary,16,47
Commercial Burglary,17,34
Commercial Burglary,18,52
Commercial Burglary,19,48
Commercial Burglary,20,46
Commercial Burglary,21,41
Commercial Burglary,22,44
Commercial Burglary,23,60
Homicide,0,17
Homicide,1,5
Homicide,2,8
Homicide,3,4
Homicide,4,4
Homicide,5,1
Homicide,6,4
Homicide,7,1
Homicide,8,4
Homicide,9,4
Homicide,10,7
Homicide,11,2
Homicide,12,4
Homicide,13,3
Homicide,14,3
Homicide,15,5
Homicide,16,9
Homicide,17,12
Homicide,18,8
Homicide,19,8
Homicide,20,8
Homicide,21,8
Homicide,22,18
Homicide,23,14
Larceny,0,997
Larceny,1,399
Larceny,2,299
Larceny,3,184
Larceny,4,145
Larceny,5,146
Larceny,6,229
Larceny,7,495
Larceny,8,901
Larceny,9,1035
Larceny,10,1433
Larceny,11,1528
Larceny,12,2001
Larceny,13,1757
Larceny,14,1916
Larceny,15,1808
Larceny,16,1954
Larceny,17,1937
Larceny,18,1833
Larceny,19,1531
Larceny,20,1291
Larceny,21,925
Larceny,22,648
Larceny,23,543
Larceny From Motor Vehicle,0,535
Larceny From Motor Vehicle,1,283
Larceny From Motor Vehicle,2,214
Larceny From Motor Vehicle,3,157
Larceny From Motor Vehicle,4,122
Larceny From Motor Vehicle,5,155
Larceny From Motor Vehicle,6,222
Larceny From Motor Vehicle,7,360
Larceny From Motor Vehicle,8,516
Larceny From Motor Vehicle,9,487
Larceny From Motor Vehicle,10,446
Larceny From Motor Vehicle,11,423
Larceny From Motor Vehicle,12,500
Larceny From Motor Vehicle,13,379
Larceny From Motor Vehicle,14,405
Larceny From Motor Vehicle,15,433
Larceny From Motor Vehicle,16,570
Larceny From Motor Vehicle,17,670
Larceny From Motor Vehicle,18,784
Larceny From Motor Vehicle,19,736
Larceny From Motor Vehicle,20,660
Larceny From Motor Vehicle,21,654
Larceny From Motor Vehicle,22,642
Larceny From Motor Vehicle,23,494
Other Burglary,0,26
Other Burglary,1,9
Other Burglary,2,8
Other Burglary,3,8
Other Burglary,4,9
Other Burglary,5,10
Other Burglary,6,13
Other Burglary,7,18
Other Burglary,8,21
Other Burglary,9,32
Other Burglary,10,20
Other Burglary,11,27
Other Burglary,12,22
Other Burglary,13,10
Other Burglary,14,22
Other Burglary,15,24
Other Burglary,16,32
Other Burglary,17,22
Other Burglary,18,26
Other Burglary,19,19
Other Burglary,20,27
Other Burglary,21,19
Other Burglary,22,18
Other Burglary,23,19
Residential Burglary,0,228
Residential Burglary,1,134
Residential Burglary,2,103
Residential Burglary,3,103
Residential Burglary,4,84
Residential Burglary,5,84
Residential Burglary,6,130
Residential Burglary,7,233
Residential Burglary,8,336
Residential Burglary,9,313
Residential Burglary,10,264
Residential Burglary,11,291
Residential Burglary,12,355
Residential Burglary,13,256
Residential Burglary,14,279
Residential Burglary,15,277
Residential Burglary,16,293
Residential Burglary,17,315
Residential Burglary,18,343
Residential Burglary,19,289
Residential Burglary,20,243
Residential Burglary,21,247
Residential Burglary,22,219
Residential Burglary,23,187
Robbery,0,275
Robbery,1,236
Robbery,2,247
Robbery,3,134
Robbery,4,88
Robbery,5,80
Robbery,6,62
Robbery,7,87
Robbery,8,90
Robbery,9,92
Robbery,10,105
Robbery,11,129
Robbery,12,151
Robbery,13,169
Robbery,14,215
Robbery,15,201
Robbery,16,214
Robbery,17,243
Robbery,18,242
Robbery,19,264
Robbery,20,343
Robbery,21,349
Robbery,22,339
Robbery,23,269
